,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,duration_ms,name,popularity
0,1.77e-05,0.423,0.985,5jr7HBFD9yryABMbPd4aJR,0.0,3,0.366,-3.971,0,0.101,101.497,0.162,182293,Zero,49
2,0.00591,0.398,0.939,5hheGdf1cb4rK0FNiedCfK,0.000881,9,0.357,-2.865,0,0.0648,92.027,0.235,342821,The Devil In I,70
4,0.00557,0.454,0.857,1j5Ji2SqM46abIbMKJUtWl,1.37e-05,1,0.0996,-4.718,1,0.0491,150.083,0.5,178553,Memories,40
7,0.000914,0.534,0.93,2fE6TcZ4MP1JJw77R7HIMs,0.0,7,0.103,-4.08,1,0.105,135.012,0.321,234493,Smokahontas,36
9,0.664,0.537,0.666,7gNSVC7yDdgxxfmNv7qI6R,0.0118,8,0.0982,-8.879,1,0.0504,189.936,0.546,246919,Hooligans,41
12,8.11e-05,0.5,0.969,717M9o5bZedADKa66AxqOg,0.0,0,0.741,-4.276,0,0.101,135.043,0.439,248493,Hope,43
16,0.00126,0.4,0.992,3ghQorhC4VYQ4k0n5pzXGQ,0.0,6,0.0838,-3.803,0,0.338,159.976,0.166,215320,Rise of the Runaways,38
18,0.00384,0.427,0.917,40bH4IjgbKDz0OFcjr028i,0.000102,8,0.0544,-5.427,1,0.161,109.853,0.574,166653,Break Stuff,8
21,0.00206,0.459,0.979,0hO0gSVhcWBjQw0ZErvjCO,1.17e-06,11,0.109,-2.388,1,0.19,103.878,0.376,221080,My Generation,5
23,0.0181,0.564,0.881,4ECHDwlIBtIyHOJq4dp37Z,2.26e-06,6,0.682,-4.05,1,0.0545,96.932,0.59,273133,My Way,5
25,0.000359,0.448,0.875,0lZVmgyRB6BfjmCHqKM5Pu,0.00109,2,0.255,-5.446,0,0.0666,92.53,0.524,283826,Unholy Confessions,0
27,0.173,0.361,0.921,41pOIT2t1rvr2Trg1HQChZ,6.95e-06,6,0.358,-2.468,0,0.0717,139.259,0.466,249226,Radio/Video,66
29,0.00126,0.392,0.863,32igKIseAgFtp1CbtI49nU,1.54e-05,1,0.158,-4.578,1,0.0403,169.889,0.583,194993,The World I Used To Know,44
31,0.0124,0.494,0.887,3G45pxFnngL6O9qrUSy4tI,0.265,11,0.112,-4.894,1,0.049,101.844,0.554,319906,Take A Look Around,7
33,0.000559,0.442,0.978,7AzWF3NULrfkluXrN7N8fK,0.000612,6,0.142,-2.629,1,0.31,174.047,0.661,233533,Gold Cobra,4
35,0.455,0.584,0.526,4igNrrOP2NqmtzCHwxVTxm,0.0,7,0.141,-6.028,1,0.0267,120.345,0.0788,269386,Behind Blue Eyes,11
37,8.51e-05,0.404,0.969,6RJdYpFQwLyNfDc5FbjkgV,0.0114,8,0.268,-2.938,1,0.195,173.878,0.29,245226,Stricken,71
39,0.000241,0.507,0.947,0fYMu9R8T2vcScNBRgIpLM,6.11e-05,2,0.211,-3.652,0,0.0542,94.034,0.51,233389,Hater,0
42,0.000326,0.48,0.805,6O2GvPpoqP3dP9rJjaAdtJ,0.0,5,0.267,-5.737,1,0.177,124.751,0.505,231345,Bury Me,0
44,0.000364,0.349,0.972,1bKRtH1leT7y003VikaXUc,0.0,10,0.119,-3.144,0,0.0951,196.216,0.652,241760,Anthem Of The Lonely,56
46,0.00452,0.595,0.933,65LTO4ikfU6zu3ZQYToNdk,0.0,6,0.222,-3.156,1,0.169,96.371,0.711,213880,Rollin' (Air Raid Vehicle),7
48,0.000118,0.413,0.992,5OT3OVworwoZVoHeR1IN8h,0.0139,1,0.149,-2.461,1,0.284,160.074,0.198,211879,Vultures and Sharks,0
50,1.99e-05,0.37,0.971,2BjsztXjQDBjmL7PiKUbuL,6.66e-05,9,0.234,-4.531,1,0.201,164.983,0.267,330760,Alpha,41
52,0.00228,0.441,0.986,1LKScCsG356DT8nzrBoSiw,0.0,3,0.418,-3.059,1,0.0863,136.019,0.515,209224,City Of Ocala,41
54,0.893,0.473,0.468,6h2YXTAX6QN83w0gOTjDZa,0.0,8,0.363,-7.439,0,0.0503,119.68,0.448,198000,Lead Me Out of the Dark,48
56,0.000369,0.561,0.774,3b6uenXXbpCRxXyzFzWi3J,2.36e-06,7,0.0469,-3.622,0,0.0737,164.008,0.903,179226,Phenomenon,58
59,0.00378,0.532,0.633,4iWYPj04kHXcZK0st5yzZf,0.0,11,0.0804,-5.106,0,0.0682,164.13,0.448,236906,Courtesy Call,66
62,0.0413,0.45,0.897,2WnxXaTRvi2nngfzfNO25f,2.7e-06,0,0.667,-2.342,1,0.0541,129.95,0.282,194573,Family First,53
64,0.000172,0.492,0.896,1AEYT6VxrxXPMoQUxsY0E4,2.78e-06,4,0.189,-5.819,0,0.117,184.981,0.534,285569,Headstrong,72
67,9.94e-05,0.53,0.989,5UoIS8W3OFFQhloQ99cdB5,0.000161,7,0.251,-3.847,1,0.0631,106.087,0.326,242240,The Dark,42
